"country","city","data_date","id","neighbourhood_cleansed","latitude","longitude","property_type","room_type","accommodates","bedrooms","beds","price","minimum_nights","maximum_nights","availability_30","price_30","revenue_30"
"france","lyon","2020-08-31",56766,"5e Arrondissement",45.76321,4.82911,"Entire apartment","Entire home/apt",6,3,4,250,14,720,0,250,7500
"france","lyon","2020-08-31",71455,"5e Arrondissement",45.76206,4.82751,"Entire apartment","Entire home/apt",4,1,2,80,2,30,0,80,2400
"france","lyon","2020-08-31",77104,"1er Arrondissement",45.76962,4.8275,"Entire apartment","Entire home/apt",4,1,2,70,2,15,28,70,140
"france","lyon","2020-08-31",134539,"5e Arrondissement",45.7593,4.82548,"Entire apartment","Entire home/apt",4,2,2,60,4,30,29,60,60
"france","lyon","2020-08-31",136556,"3e Arrondissement",45.76208,4.85327,"Entire apartment","Entire home/apt",5,1,3,99,3,730,0,99,2970
"france","lyon","2020-08-31",137132,"6e Arrondissement",45.76854,4.85312,"Entire condominium","Entire home/apt",4,1,1,88,3,730,0,88,2640
"france","lyon","2020-08-31",174304,"1er Arrondissement",45.76695,4.83241,"Entire apartment","Entire home/apt",6,3,4,104,2,120,25,105.6,528
"france","lyon","2020-08-31",249711,"7e Arrondissement",45.75104,4.83795,"Entire apartment","Entire home/apt",6,3,4,120,2,30,25,120,600
"france","lyon","2020-08-31",251630,"1er Arrondissement",45.77019,4.835,"Entire apartment","Entire home/apt",2,NA,2,35,13,180,0,35,1050
"france","lyon","2020-08-31",298089,"3e Arrondissement",45.75775,4.87644,"Private room in apartment","Private room",3,1,2,21,1,5,0,25.0333333333333,751
"france","lyon","2020-08-31",329950,"3e Arrondissement",45.74817,4.87162,"Private room in apartment","Private room",6,3,4,72,2,16,0,72,2160
"france","lyon","2020-08-31",342674,"3e Arrondissement",45.75383,4.84758,"Entire apartment","Entire home/apt",8,3,5,155,1,1125,17,155,2015
"france","lyon","2020-08-31",349150,"5e Arrondissement",45.76419,4.82794,"Entire apartment","Entire home/apt",4,1,3,79,2,1125,28,79,158
"france","lyon","2020-08-31",365998,"1er Arrondissement",45.76846,4.82951,"Entire apartment","Entire home/apt",2,1,1,66,3,15,11,66.1052631578947,1256
"france","lyon","2020-08-31",369303,"6e Arrondissement",45.76407,4.86958,"Entire apartment","Entire home/apt",2,1,1,50,2,15,0,50,1500
"france","lyon","2020-08-31",387453,"1er Arrondissement",45.76872,4.83024,"Entire apartment","Entire home/apt",5,3,4,90,4,28,0,90,2700
"france","lyon","2020-08-31",403747,"2e Arrondissement",45.75865,4.83353,"Private room in apartment","Private room",2,1,2,41,1,31,19,40.0909090909091,441
"france","lyon","2020-08-31",416475,"1er Arrondissement",45.77063,4.83459,"Entire apartment","Entire home/apt",4,2,2,55,2,1125,0,55,1650
"france","lyon","2020-08-31",452349,"3e Arrondissement",45.75398,4.87246,"Private room in apartment","Private room",2,1,1,60,1,1125,27,60,180
